	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
SEDR_1	0.276764183924532	0.49836392419577047	0.4901845371624265	0.33411646272563417	0.3553007106932364	0.33733710491395597	0.26443079357748994	0.2690854355740074	0.26855222498957143	0.5542421747917219	0.5263924150272205	0.5036474304855355	0.6010544825639701	0.5158837348564413	0.5053001027700553	0.506184407950361	0.46729572637324196	0.5235268906849878	0.5313471893886426	0.5098023215169114	0.0	0.7329705783070204	0.5561147243561962	0.5310016771539853	0.43751178086478437	0.2049432615638695	0.2025421008250474	0.23254609939020648	0.20967708045527	0.26800880828796575	0.2815242258559189	0.6683001914234374	0.5525578708015062	0.34062095732285935	0.3744469519694482	0.5375199290944864	0.5206022517734015	0.42171137493291894	0.616606643743676
SEDR_4	0.29352883774993577	0.5056139601502867	0.49704566462549604	0.33127907224085484	0.35846090216257925	0.33918372140526704	0.24795861000665906	0.26032322035057365	0.2591030945783192	0.5517381311631815	0.5232274376955921	0.49204727381681745	0.6047908365481094	0.5681599297633756	0.544001768729568	0.5464510149133989	0.47873052313739195	0.5185015839114391	0.5255537973891613	0.5220773731932243	0.7329705783070204	0.0	0.5664322971425798	0.5199285981246391	0.4213830754162922	0.20255338793451805	0.20124478964675588	0.2315169547932047	0.20536272617043722	0.26831687052341086	0.28300251278482896	0.6722681080491958	0.5678332399391184	0.3493826246445232	0.3941295079461348	0.5679036055535283	0.5393988541836477	0.4260642248781083	0.6430829743612897
SpaceFlow_1	0.35212443691969403	0.5224115932717625	0.5093809885960205	0.3453022109729126	0.35466330912115024	0.34262936006253303	0.23639834553698552	0.24761742863751346	0.24673264000251466	0.5879398589260296	0.5481101893262805	0.47183057169029474	0.6004958643066464	0.5642106176907064	0.5655440581672316	0.5519452106447903	0.4824988767428802	0.5322125110753861	0.5570930399734019	0.551156411134666	0.5561147243561962	0.5664322971425798	0.0	0.8074935162269744	0.40823258849384103	0.18971229751846164	0.18907799806765663	0.2149913264441737	0.1908457378388423	0.26712186503985746	0.27292099447241547	0.5994260994699961	0.6267365693169813	0.45854412442537595	0.4403974414000201	0.6735376175253064	0.5963009655973811	0.5115452875266122	0.5779738657505495
SpaceFlow_4	0.3968018486760978	0.5265425324624505	0.5127887969649105	0.33757051390221393	0.3408110978616459	0.33966307390041994	0.2279357972417831	0.23966269506471194	0.23971324316594772	0.6071651064324087	0.5788336562929579	0.45429672021772616	0.593538957907568	0.5532908482035972	0.5826419269341995	0.5352163230397764	0.4574351959250689	0.5207929949119707	0.5579268081184955	0.5385572437420811	0.5310016771539853	0.5199285981246391	0.8074935162269744	0.0	0.3745130652332222	0.1844005886150952	0.1834868993807807	0.20903947557048513	0.18447709440657775	0.257736410755314	0.26588243104880216	0.5632867173188212	0.6637549083803047	0.49709631044904945	0.4815454939691567	0.6944148600578706	0.547432165606745	0.507428156630565	0.5337095898815425
DRSC_4	0.21825877164862523	0.4445176470582743	0.43933892351326953	0.47460432447729606	0.3648526598436931	0.4756016296381216	0.4730837931896162	0.4792463528723832	0.4814694006359995	0.4364215489143427	0.4123401944025548	0.47050620846856167	0.4631004065769106	0.37775821234038964	0.34510127839238774	0.40183289674879075	0.41950507539429427	0.39200175302751367	0.41083868962579173	0.4225802942888849	0.43751178086478437	0.4213830754162922	0.40823258849384103	0.3745130652332222	0.0	0.3587432537291875	0.3571322025864281	0.39233134896495464	0.35739919076333704	0.472263003192886	0.4760973598492622	0.44606274009678554	0.38107727748957876	0.25033235348174815	0.25946075809472846	0.38702652599677684	0.35747075753150276	0.3028472869158205	0.40411668805172885
seurat_2	0.2023561136723929	0.27256678647986704	0.27090200861462743	0.5228785911897735	0.3153782963329362	0.45406624020155634	0.6704879817659608	0.6664982770813087	0.6652205397462764	0.2374608676818094	0.23391935053731627	0.2898989167195277	0.20149303736324906	0.18060973415897777	0.16821585377432982	0.19199754216459142	0.26699470274957826	0.244092980125533	0.23553871257380046	0.25668655738102003	0.2049432615638695	0.20255338793451805	0.18971229751846164	0.1844005886150952	0.3587432537291875	0.0	0.9876588878490198	0.905217086256639	0.9075690976099385	0.5962221046062722	0.6078624724015009	0.20033387365842806	0.18075824314965436	0.13345022055148698	0.13280450277582626	0.2090583412774626	0.16562746856492605	0.14428491070623717	0.19413994036805624
seurat_3	0.20177440146856573	0.26886377540229983	0.26729156292402384	0.5190384268444056	0.315967266036413	0.45657410986297964	0.6664451185161381	0.6680646960592006	0.6661089741888254	0.2368340416578717	0.23342933227586243	0.290232372959337	0.2006530913817865	0.17983944570390356	0.16661992756773897	0.19103079466582223	0.26675182696121447	0.24399390454881587	0.23550585761574833	0.25661893813835795	0.2025421008250474	0.20124478964675588	0.18907799806765663	0.1834868993807807	0.3571322025864281	0.9876588878490198	0.0	0.899809620240817	0.9043022454107768	0.5978855875200195	0.6092609283013749	0.19873907418897852	0.1799190814566776	0.1330030028250517	0.13215012241998378	0.20817328951852204	0.1649876393044814	0.1437057310167811	0.1930844290815296
seurat_1	0.22244437676414128	0.30130615066315886	0.29915946645172303	0.523034407315922	0.32740931263837	0.449104818689569	0.6469922890407129	0.6575587549651328	0.6534194255029723	0.2642961918568681	0.2609899458865991	0.3220502905870047	0.2272691482607106	0.20402742079343839	0.18765279371132823	0.21579554692077196	0.2979523874686562	0.27471776246831114	0.26416751895209833	0.286752443250213	0.23254609939020648	0.2315169547932047	0.2149913264441737	0.20903947557048513	0.39233134896495464	0.905217086256639	0.899809620240817	0.0	0.8944270759876041	0.6340280482721238	0.649914520265704	0.22816065925302975	0.20531387429206038	0.149757667724052	0.1516369118396915	0.23347312449416394	0.18681682319483156	0.16187026626942988	0.21800589150409821
seurat_4	0.19768881087210707	0.27411240469618403	0.2731150242154284	0.5389228603582834	0.3152234504800522	0.45406080617186095	0.6831643267152493	0.6773590482146901	0.6726068440234542	0.23496256304602384	0.23256872450155086	0.2948863546020625	0.20283149136207632	0.18014229119100636	0.16636502439958978	0.1928216990449814	0.2720295564356051	0.2508598430701898	0.24065292914793235	0.261927431632785	0.20967708045527	0.20536272617043722	0.1908457378388423	0.18447709440657775	0.35739919076333704	0.9075690976099385	0.9043022454107768	0.8944270759876041	0.0	0.6128750186712574	0.6247917883449798	0.2042571109715693	0.18232879724898088	0.13033020268944778	0.1358057857407859	0.2083424526220758	0.16859446281840787	0.14575666482203578	0.19770477942735878
BANKSY_2	0.25207661005143855	0.35373246129511604	0.351949721417872	0.6606476248987961	0.34317704678015	0.5228754364893131	0.8058300394195593	0.8449845654223772	0.8466840073562304	0.29354233251036205	0.30416506773697743	0.361586056604944	0.2641259717899185	0.26590115073010934	0.24433976779788563	0.27564608783208516	0.4005733145137878	0.38375982256284813	0.3451407723034488	0.39264418033341114	0.26800880828796575	0.26831687052341086	0.26712186503985746	0.257736410755314	0.472263003192886	0.5962221046062722	0.5978855875200195	0.6340280482721238	0.6128750186712574	0.0	0.9535570049111451	0.2686656894208084	0.26118886528835816	0.20236725071665132	0.19370302728174452	0.2813030816964062	0.2402022916188306	0.21733290209446393	0.2526420150283753
BANKSY_4	0.24338286305422646	0.3653854772041303	0.36361854437674207	0.674681843210909	0.35035735100838594	0.5356947665649469	0.8048343457277768	0.8421673136957429	0.8439979222844801	0.3038815974024325	0.31137048859853983	0.37493654644061986	0.2732458781983905	0.2780854814846014	0.25547443393587227	0.2810991816480951	0.41652926261712314	0.38621609898188464	0.35993851843000124	0.40851395880458646	0.2815242258559189	0.28300251278482896	0.27292099447241547	0.26588243104880216	0.4760973598492622	0.6078624724015009	0.6092609283013749	0.649914520265704	0.6247917883449798	0.9535570049111451	0.0	0.2803001549995434	0.2716806233304699	0.2072850910741616	0.19999625827834958	0.29052845646508985	0.2456722385808398	0.22044898104806407	0.26294458660254577
STAGATE_12	0.27725922127285196	0.5177878509170938	0.5099511221487989	0.32433830244360184	0.3683859566505177	0.3407199008146839	0.25946261504325135	0.2672038662092659	0.26568497593084095	0.5686051079595119	0.545556929050453	0.5318537191650001	0.6428996138253131	0.5389229245246857	0.519356760891359	0.5821059306985261	0.4927925574551713	0.5087864834058277	0.533413465256715	0.5177917848253863	0.6683001914234374	0.6722681080491958	0.5994260994699961	0.5632867173188212	0.44606274009678554	0.20033387365842806	0.19873907418897852	0.22816065925302975	0.2042571109715693	0.2686656894208084	0.2803001549995434	0.0	0.5957148100638725	0.39116942953723255	0.3896214213162771	0.5887176245650685	0.5840650295188804	0.4429726588934476	0.7796773606413775
STAGATE_11	0.3702219549912521	0.47878003138122693	0.4659164350200792	0.31734398099386246	0.3039821296659054	0.322294628686767	0.23056205488088427	0.24175905058433192	0.24092703942769134	0.5537559818991432	0.5583702644507026	0.454455504067617	0.5819478265694714	0.6144536626971766	0.6087765069059797	0.5427646707382152	0.45590140635933946	0.48414533929184805	0.5152312013299557	0.4994675929373671	0.5525578708015062	0.5678332399391184	0.6267365693169813	0.6637549083803047	0.38107727748957876	0.18075824314965436	0.1799190814566776	0.20531387429206038	0.18232879724898088	0.26118886528835816	0.2716806233304699	0.5957148100638725	0.0	0.491849230357389	0.5175104292287369	0.720788816945348	0.5404068836190038	0.5061405721961515	0.5667707379834226
