	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
SEDR_4	0.29435410861397693	0.45213516987847896	0.33507786767847486	0.30987533517099364	0.27337191029849106	0.24677957802538622	0.2123018492367851	0.22987185200011423	0.6024331975320798	0.544480253079978	0.4337702137526448	0.5004136766773114	0.5334368483087297	0.4438773315369514	0.5475104539566941	0.43223392074690614	0.4223842570531864	0.43368897406322016	0.426483393243098	0.7326102288011691	0.0	0.423311447288326	0.4181583140155882	0.3033178929106583	0.189612729252576	0.18949542538928096	0.19759217073988414	0.1897501884152444	0.28130900820134686	0.27931177489583325	0.5885497202927303	0.4340394571268669	0.2811873470113589	0.3142416759757116	0.46915444653204336	0.552897772411527	0.40834755535518735	0.5775141312381117
SpaceFlow_1	0.38305204455457975	0.4395764163293574	0.2853878082587816	0.25087390568613965	0.20759318523650194	0.2094182782573263	0.2067435201230901	0.20986693187892028	0.5247322005470841	0.533572375417708	0.37074407271736465	0.43505828646979633	0.5709564651304244	0.5454590860230899	0.571075846554717	0.4400281093536636	0.4983799373717201	0.5345858360965634	0.45409129985666014	0.4090887088195224	0.423311447288326	0.0	0.8838759402434544	0.26144379538676354	0.18400531375097398	0.18384935815168504	0.19437769924013115	0.1853989276084243	0.293457854935803	0.29503600991980755	0.41444341307415705	0.7598891954183675	0.40047705389276633	0.4671621466651052	0.7197622923457296	0.42971115999884046	0.4194865892411483	0.4094577425320495
SpaceFlow_4	0.3943213586855465	0.43016918664899206	0.27878237651077414	0.24507291052504698	0.19850914109020032	0.20056926081716173	0.19284673534742822	0.1957433488924032	0.5154565562408956	0.5347086561973068	0.3632597182137764	0.42577021277830024	0.5782710764595549	0.5570645015766262	0.5713213176915729	0.4291703725778362	0.4812706228758177	0.4985592601330646	0.44364947712393077	0.3973422161143624	0.4181583140155882	0.8838759402434544	0.0	0.252479865119473	0.16863376521584547	0.16856949173287886	0.17884949045621965	0.1698818015761789	0.27899966785796937	0.28080289150347354	0.41670525551705184	0.7985725273033659	0.4134139407312915	0.48999561471693115	0.723752004020391	0.4354894957614388	0.43089399926807925	0.4098890738449559
DRSC_4	0.1923080373815566	0.3424705134712814	0.5296935019705008	0.41906402273427157	0.48228839196027495	0.5626865792241047	0.49037823769267913	0.5384510661603127	0.38344475232247544	0.3476870631081632	0.42004172455910344	0.373299962528403	0.2926260673946714	0.2696290188421467	0.31796080487219214	0.3302433308262265	0.31300396175557094	0.3085096370499349	0.3153222815766084	0.3006442111173114	0.3033178929106583	0.26144379538676354	0.252479865119473	0.0	0.45546559965791017	0.4549418033110069	0.4734488165083196	0.4583558746162695	0.4733862663875281	0.47903508216911017	0.31077295251618087	0.24157791485250418	0.15751769339596605	0.18139836237931556	0.24971849749679573	0.2762733904023777	0.24811328070788632	0.2797244169842355
seurat_2	0.24700897918164683	0.2945858548499263	0.5710349756753225	0.3882976636531375	0.4899292083184071	0.7194202154172155	0.7759418657869036	0.7708322876905773	0.22836443826120098	0.21728256041452426	0.34328852500483054	0.25456962879869505	0.18355271833966683	0.16435262618497454	0.19597654163055903	0.3012904324903268	0.267360054681472	0.25082109724220164	0.2755196885681805	0.1911377078927869	0.189612729252576	0.18400531375097398	0.16863376521584547	0.45546559965791017	0.0	0.9954715062722908	0.937761054275858	0.9833664393471316	0.6042413585614801	0.6034584263490114	0.19951286612553104	0.1649584017540233	0.10311845129043319	0.12285365208500927	0.1719731531466742	0.1804716380372231	0.17545668234393105	0.1648977259407067
seurat_3	0.24699531178567258	0.2942149485092241	0.5709450890403067	0.3883205638000477	0.4894379297380621	0.7185572654759581	0.7757105169837004	0.7705836922758326	0.2282927014247164	0.21719118846915403	0.3434076465037481	0.2546162973700959	0.18337011141107676	0.16423942160124602	0.1957196029962278	0.3010022096944036	0.2671004375909335	0.25063581724227213	0.2750488252163963	0.19101379476884725	0.18949542538928096	0.18384935815168504	0.16856949173287886	0.4549418033110069	0.9954715062722908	0.0	0.9374533670665315	0.9850413918094364	0.6041219616354723	0.6033615073378901	0.1993207503904476	0.16490350913372712	0.10311725236004439	0.12282377188843079	0.17192148589496523	0.1804557550394926	0.17524268035373533	0.16464138877500975
seurat_1	0.24580119436654813	0.30817326506972775	0.5912031030028443	0.40094241791946483	0.5056962038059539	0.7302262360070637	0.7677090280710781	0.7841284430299023	0.23889488032884731	0.2280694323853755	0.3552483959829885	0.2642990339284327	0.19096682068028809	0.1706999793177552	0.2031054513443139	0.2961311029860719	0.26163414637271687	0.2447765698490554	0.2770825279470794	0.1985639418368757	0.19759217073988414	0.19437769924013115	0.17884949045621965	0.4734488165083196	0.937761054275858	0.9374533670665315	0.0	0.9377044781063502	0.6087004268863299	0.6079026907937566	0.20780387920891696	0.17502146484094946	0.1077537417210426	0.12670633034794337	0.18110106779773205	0.18743046067421407	0.18565904720411702	0.1731955482803887
seurat_4	0.25002893438775275	0.2957475114689873	0.5721675695665699	0.38842234674874765	0.490033542474301	0.7205386503115111	0.7791686865751231	0.7746900710692682	0.2301626890023872	0.21916293273937387	0.3457750887438381	0.25721309142955495	0.18447267717965435	0.1651969022794683	0.19717284388880374	0.3013027633872872	0.26739600076657083	0.25073277337898625	0.27475567865384354	0.19142255271697126	0.1897501884152444	0.1853989276084243	0.1698818015761789	0.4583558746162695	0.9833664393471316	0.9850413918094364	0.9377044781063502	0.0	0.606788571105517	0.6061641904881935	0.19993085225248755	0.1662105999218842	0.10399313619042311	0.1237645673339514	0.17313200070724882	0.18065637880968996	0.17532827961565944	0.16503849809550386
BANKSY_2	0.22863662061490572	0.42242484872856834	0.6106943214532196	0.35706263775130787	0.4642918426510061	0.6738742336017715	0.6882294085662469	0.6684934859310918	0.3345353217534532	0.304857300058262	0.38644498582694903	0.3027134569043291	0.3111977371762762	0.2587074930916228	0.323004785563486	0.4717189321830299	0.41708032587213684	0.39538633009004975	0.4316257020993819	0.2802624509882586	0.28130900820134686	0.293457854935803	0.27899966785796937	0.4733862663875281	0.6042413585614801	0.6041219616354723	0.6087004268863299	0.606788571105517	0.0	0.9634661235326812	0.27076248884528187	0.2687099416943077	0.17092305772119984	0.19930126944418633	0.30810077298477645	0.26249141785022506	0.25782535007269797	0.24796353918137914
BANKSY_4	0.23463759116103602	0.42426654233987376	0.6093557117069479	0.3581258248195623	0.4681776135878728	0.6678754807543358	0.6942944417016593	0.6743092701206601	0.34120134881318487	0.31110840196684436	0.39750164365953605	0.31358246286169955	0.31284675951808033	0.2612054661440176	0.3245653682752834	0.4654595207379068	0.41938991554203503	0.39771327206723145	0.42470095882096287	0.2747487575281177	0.27931177489583325	0.29503600991980755	0.28080289150347354	0.47903508216911017	0.6034584263490114	0.6033615073378901	0.6079026907937566	0.6061641904881935	0.9634661235326812	0.0	0.2671579230281689	0.2702879913225898	0.17820228774552266	0.20415794480788416	0.2991175399127074	0.2602631967393815	0.25977952491640777	0.2437396994510995
STAGATE_12	0.29109644725845046	0.4485658407846509	0.3365326808085735	0.3513470000701645	0.2914107819504539	0.25249407157074616	0.2188152271313252	0.24287202922719467	0.5537728554394977	0.5304077867635013	0.4734049743506071	0.5336971234265707	0.5036727729510009	0.45714812853102443	0.5258194979661257	0.3802757377680437	0.3729458371207976	0.3806435816586837	0.3727417851550591	0.5724008347893838	0.5885497202927303	0.41444341307415705	0.41670525551705184	0.31077295251618087	0.19951286612553104	0.1993207503904476	0.20780387920891696	0.19993085225248755	0.27076248884528187	0.2671579230281689	0.0	0.39696489453124023	0.24497365444893054	0.30144736323853166	0.4508469160584836	0.5496266928666104	0.4184525256293002	0.6656488040043175
STAGATE_11	0.3924869768079393	0.41037391210909874	0.26800917057248985	0.23727614789384846	0.19214726713900102	0.19600797412694898	0.18934684255268558	0.19237908470553663	0.5011390057178108	0.5056233335647337	0.34818640282862456	0.4043715356226831	0.5607323575463788	0.5266239833885614	0.5568863351247043	0.4152768271202687	0.46799801677119307	0.4793462454798325	0.432996557030905	0.38610701092852473	0.4340394571268669	0.7598891954183675	0.7985725273033659	0.24157791485250418	0.1649584017540233	0.16490350913372712	0.17502146484094946	0.1662105999218842	0.2687099416943077	0.2702879913225898	0.39696489453124023	0.0	0.4538566809018279	0.5250730910108217	0.7564444967550755	0.4007021833665134	0.41625032947536295	0.4137968048740353
STAGATE_2	0.283855595505972	0.2393640037466093	0.16906980682508582	0.15649512368594126	0.1241102960337691	0.13011701159344144	0.1303758528892681	0.13343251611861512	0.3034615562376345	0.3263656959720486	0.23815365187161458	0.28012464156828415	0.3382666848311947	0.3353656002757059	0.33276034926223524	0.25036666761810966	0.2968491755601422	0.28255094586818696	0.2693082248808298	0.25308906215508437	0.2811873470113589	0.40047705389276633	0.4134139407312915	0.15751769339596605	0.10311845129043319	0.10311725236004439	0.1077537417210426	0.10399313619042311	0.17092305772119984	0.17820228774552266	0.24497365444893054	0.4538566809018279	0.0	0.5736886421417795	0.42129211577865183	0.28656462782263664	0.3274880286619452	0.2641175582612298
STAGATE_3	0.3257577933704826	0.2891362858124678	0.19240152978434288	0.1773660158698641	0.141648431327825	0.14560682219045953	0.15138090830780773	0.14908157857826881	0.36470841111437796	0.3892577105921057	0.2763854031028198	0.3225238680938432	0.42137776265917787	0.4229774570046645	0.4093286987804498	0.2952443756556486	0.3404882790507825	0.32614102419016855	0.3172938085557959	0.28208846984784886	0.3142416759757116	0.4671621466651052	0.48999561471693115	0.18139836237931556	0.12285365208500927	0.12282377188843079	0.12670633034794337	0.1237645673339514	0.19930126944418633	0.20415794480788416	0.30144736323853166	0.5250730910108217	0.5736886421417795	0.0	0.48165828434919256	0.3281003009512238	0.3840512054090724	0.3164951756804047
STAGATE_10	0.4156965622829837	0.45910857340849376	0.30545628717192075	0.2573271907796783	0.20634864978088943	0.2052299806162622	0.19445470814096874	0.19462191538627455	0.5367006427122968	0.5412952960041024	0.3733599394157309	0.451039392547632	0.6013053839384329	0.5047726931997233	0.574435229747585	0.44195980409033536	0.4755755712951026	0.4879637726765394	0.45553952913009044	0.43177767628245467	0.46915444653204336	0.7197622923457296	0.723752004020391	0.24971849749679573	0.1719731531466742	0.17192148589496523	0.18110106779773205	0.17313200070724882	0.30810077298477645	0.2991175399127074	0.4508469160584836	0.7564444967550755	0.42129211577865183	0.48165828434919256	0.0	0.4260510051207089	0.42929410984687594	0.44563943205583834
STAGATE_1	0.27940991002674104	0.39985541807606945	0.30277630633743274	0.2926700596745419	0.2503030093866789	0.2330581115103683	0.20354278701947573	0.22163378545661183	0.5332394013354415	0.5192632313096892	0.4048473443436396	0.4672434147728945	0.5342279631364091	0.5242836549806935	0.5246060053045747	0.3760498258434363	0.3853789585485348	0.3828674946279455	0.3708033975908426	0.5194651040262537	0.552897772411527	0.42971115999884046	0.4354894957614388	0.2762733904023777	0.1804716380372231	0.1804557550394926	0.18743046067421407	0.18065637880968996	0.26249141785022506	0.2602631967393815	0.5496266928666104	0.4007021833665134	0.28656462782263664	0.3281003009512238	0.4260510051207089	0.0	0.46308425905625483	0.5355342070021013
STAGATE_4	0.3059889069059227	0.37518944927552583	0.28736874947474655	0.250393170980509	0.21844831190949093	0.21820746718590545	0.20034853915626716	0.21089698001220783	0.4411600522049653	0.4659448410309276	0.35789428462308764	0.40534331886405534	0.48359144738191856	0.4657293717857962	0.4725076817862413	0.363091725215561	0.3773272353750628	0.3534177712606789	0.341051909966734	0.41405277852988726	0.40834755535518735	0.4194865892411483	0.43089399926807925	0.24811328070788632	0.17545668234393105	0.17524268035373533	0.18565904720411702	0.17532827961565944	0.25782535007269797	0.25977952491640777	0.4184525256293002	0.41625032947536295	0.3274880286619452	0.3840512054090724	0.42929410984687594	0.46308425905625483	0.0	0.4223945247545032
STAGATE_13	0.28815675255287543	0.39492479144381676	0.28908464838264714	0.2838521184815571	0.24253254385507153	0.21815198892940177	0.19124053573976676	0.20600818873641188	0.5134498918215745	0.48478254718737646	0.40226590826130504	0.4557523285244985	0.49978316406931234	0.4667271362946327	0.5119330438613001	0.36213964439322943	0.36536297132518636	0.36071159172889367	0.36400313164859766	0.539787812493944	0.5775141312381117	0.4094577425320495	0.4098890738449559	0.2797244169842355	0.1648977259407067	0.16464138877500975	0.1731955482803887	0.16503849809550386	0.24796353918137914	0.2437396994510995	0.6656488040043175	0.4137968048740353	0.2641175582612298	0.3164951756804047	0.44563943205583834	0.5355342070021013	0.4223945247545032	0.0
