	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
SpaceFlow_1	0.42096657666283754	0.4973081119312063	0.2845063564314014	0.4033100680749647	0.26652408158657864	0.21534326009250288	0.229180301051894	0.19367869769827953	0.5416907412077429	0.5879286980728602	0.4572691762008416	0.543528345000146	0.560790905533811	0.5270812094420866	0.45738516030322834	0.5742387904062982	0.5360363689928344	0.6023032829983976	0.5937644546130071	0.4781205647404664	0.44980197317049203	0.0	0.8740650324575141	0.3261652239678919	0.1747231831980881	0.17433553398575835	0.1939434732252011	0.19233621349573857	0.3140531677112941	0.3314236087802236	0.4902088390752873	0.6156965343807538	0.5528899271159867	0.571948797039713	0.516603045280619	0.5338466628538061
SpaceFlow_4	0.45644604880112893	0.536961465620186	0.3087436095404689	0.39713503077300455	0.2637125926404001	0.2291216103250985	0.2443834927224849	0.20780573981077943	0.6037391147722413	0.6436152979033447	0.4529113854232192	0.5431758149186567	0.6157262837876085	0.5614723015502717	0.5123482433182414	0.6058892514708727	0.5783478898480227	0.6441481476100234	0.6210079305261953	0.4939178827857392	0.4623026015936999	0.8740650324575141	0.0	0.32510144947268055	0.189310833449188	0.18889699316284567	0.20878112660528628	0.20810741529684382	0.3305755108420514	0.34922239032169416	0.4787892678039818	0.672440331587604	0.5691609896886282	0.6209901336937157	0.527419784626148	0.536432474468981
DRSC_4	0.2154250664579725	0.36360673821656675	0.44876013777295864	0.3064181443622765	0.4161365970650762	0.4819815227757447	0.4842189293859189	0.4451820602293788	0.35839497013518284	0.38002457162246106	0.4458274860059306	0.3971031068805924	0.3180998698164096	0.3151433365586931	0.3309608443657615	0.39881439765660404	0.39868163037018306	0.38608842538982624	0.40602971768524493	0.2779647488560107	0.28602687328333354	0.3261652239678919	0.32510144947268055	0.0	0.46263692358515973	0.4633357705426626	0.46333878318372945	0.47403050039380823	0.5485357941530729	0.5557495610172516	0.3084527392743421	0.3063968735870314	0.24844954375502973	0.2636575621427309	0.3024173911814324	0.3245933982796431
seurat_2	0.20855524417603954	0.29250663824367507	0.5556004533619244	0.25014494822601174	0.5087547427719045	0.7004944629701756	0.65192753023957	0.7575762072265486	0.2229657743179884	0.2378863494796664	0.2888448978499449	0.22508926925497097	0.17264121912826427	0.17119083447811304	0.20010312062210375	0.27193305156198555	0.2655963424072618	0.25918849533893845	0.2828370984510124	0.16604096464596746	0.18624084249846617	0.1747231831980881	0.189310833449188	0.46263692358515973	0.0	0.9944310033055045	0.9264736073551704	0.9354603618304517	0.5674746301814362	0.5820989083335526	0.19554722415549067	0.18059276159582988	0.14605326944307412	0.2384754050743124	0.16788376820538267	0.18840239792586475
seurat_3	0.20795415375760065	0.2915837807475943	0.554679533101881	0.24936503675810298	0.5078776673885541	0.7013632557457457	0.6522558362936194	0.7577362484798651	0.22234980993314532	0.2373163070811576	0.2881784443878024	0.2244306161078988	0.17224888024690094	0.17075965806409776	0.19945939163534948	0.271343779520886	0.26489740992702915	0.25860052047385174	0.2822467685765918	0.16555679020052141	0.1856309452720213	0.17433553398575835	0.18889699316284567	0.4633357705426626	0.9944310033055045	0.0	0.9281692895947069	0.9373636121264474	0.567150245565631	0.5819718679324591	0.19497722402094514	0.1800964905468599	0.1457738939021288	0.23781294726646565	0.16744800536060644	0.18791700962745853
seurat_1	0.22570958513671552	0.30655165163428916	0.5295000489478341	0.257433140957529	0.490147199225006	0.6596514075622724	0.6969930846860997	0.7164360834568874	0.23719378499808239	0.25221282685365803	0.3026137822090937	0.23911182979400958	0.1873287715518784	0.18721939263407236	0.2182396624752075	0.29596801954373103	0.2884434749150133	0.28149065121966665	0.30842176106624547	0.18268985188032064	0.20449212608178735	0.1939434732252011	0.20878112660528628	0.46333878318372945	0.9264736073551704	0.9281692895947069	0.0	0.9708980174046767	0.5865465488253417	0.5630740716228215	0.2062513453733624	0.1973368701933044	0.16209971524823924	0.25898222255367515	0.18401122794136798	0.19869152299237702
seurat_4	0.2261737965320411	0.3058240781067471	0.5234475416084723	0.2559581761174174	0.4812404312807229	0.6488369733109597	0.686876302494096	0.7074287586296494	0.24206836141031732	0.2581007839319293	0.31063541114359283	0.24440771848590587	0.18933318261586815	0.18702013996435427	0.2179968718011312	0.2936683490743379	0.28689402076679466	0.2796714016421641	0.3057523451416971	0.18141415546498565	0.20179613896779627	0.19233621349573857	0.20810741529684382	0.47403050039380823	0.9354603618304517	0.9373636121264474	0.9708980174046767	0.0	0.5813923873285504	0.558309751360479	0.2118066339178473	0.19703331118985332	0.16161236319347955	0.25876423982385854	0.1817228984563131	0.20480252056510304
BANKSY_2	0.22128680628336667	0.41681861341830007	0.6491906908590519	0.3124901706272467	0.5188688211913505	0.7405797876007473	0.790876518535871	0.7282863521605452	0.3396253010233616	0.357043639170717	0.4077231761620649	0.3282839696804287	0.30633632478357165	0.27268331930361966	0.29305652995592696	0.45421860175452394	0.4266439071672708	0.4179700295811307	0.4561837637896115	0.28259873016657	0.28619356358484227	0.3140531677112941	0.3305755108420514	0.5485357941530729	0.5674746301814362	0.567150245565631	0.5865465488253417	0.5813923873285504	0.0	0.9128506245067065	0.29924618126037617	0.2992715726613306	0.2460566706754569	0.26290325839651757	0.2892956950322551	0.3065155915890836
BANKSY_4	0.23707863421695774	0.44141296517111706	0.6495976095623097	0.34517165804368166	0.51941486242729	0.7476849273830611	0.7406825933562348	0.7386563392238414	0.3387990794053432	0.3765733795638791	0.40261812775272743	0.32843594978073337	0.32108602287410076	0.2722204926386017	0.29006706092104717	0.47303106217546614	0.446460894365616	0.43569399986510804	0.4719734408064504	0.2796062651232699	0.2828955343563142	0.3314236087802236	0.34922239032169416	0.5557495610172516	0.5820989083335526	0.5819718679324591	0.5630740716228215	0.558309751360479	0.9128506245067065	0.0	0.3016945619977467	0.3004387772160857	0.24880938653909618	0.26439054879344226	0.29334269097462073	0.30827243916423125
STAGATE_12	0.316259148785919	0.4938862470795902	0.3012491854830162	0.44252100895946045	0.31722683078604363	0.2328951490964515	0.2354234113005878	0.20848812742371156	0.5338679085041479	0.48839389425133906	0.5158876853851023	0.5953909023263071	0.531980773839753	0.525809061597606	0.5407822094995258	0.5123824721946767	0.529381500896763	0.545547375705173	0.5488846914584835	0.6785916244805461	0.683868191445918	0.4902088390752873	0.4787892678039818	0.3084527392743421	0.19554722415549067	0.19497722402094514	0.2062513453733624	0.2118066339178473	0.29924618126037617	0.3016945619977467	0.0	0.5436186567699497	0.4240978559563409	0.470281412950235	0.6124556898227236	0.8112402635483582
STAGATE_11	0.42948732293854114	0.47734850900210907	0.29749419200814176	0.34989011190169184	0.25843297690685607	0.2154067534579047	0.22804879455672944	0.1962055059109151	0.6626072888521686	0.6167173241777063	0.4882459390118582	0.5919558399746686	0.5740148341961787	0.6120263924944493	0.5649240595489877	0.5390736967417439	0.5134730868120334	0.5660349186937286	0.5597357391455781	0.517906785431625	0.49307329057069826	0.6156965343807538	0.672440331587604	0.3063968735870314	0.18059276159582988	0.1800964905468599	0.1973368701933044	0.19703331118985332	0.2992715726613306	0.3004387772160857	0.5436186567699497	0.0	0.6186896928180162	0.679113521403668	0.5948178177818773	0.5910151407895764
STAGATE_3	0.4007617828527638	0.3917406718364322	0.22935634588902776	0.2805019987597051	0.20533625480110113	0.17506476734197102	0.18692916831482806	0.15931990794320802	0.47137112932360425	0.4522297295510784	0.3585087337007483	0.42588627068383306	0.4829049460809998	0.5108817226568071	0.46005538898361165	0.44101815072303385	0.41859784062395133	0.4723127816230693	0.4773718144011764	0.4145162746134226	0.4039824313075312	0.5528899271159867	0.5691609896886282	0.24844954375502973	0.14605326944307412	0.1457738939021288	0.16209971524823924	0.16161236319347955	0.2460566706754569	0.24880938653909618	0.4240978559563409	0.6186896928180162	0.0	0.541005578048526	0.47911373963184073	0.46696549742769283
STAGATE_10	0.6076595914542259	0.4389900321841246	0.26312454695256454	0.31934785087784956	0.2343097368125749	0.18484053059584166	0.23553187303257794	0.20242660555723505	0.5490466572579501	0.5191874312857575	0.40049514503114514	0.4918115928537202	0.47331345521439344	0.4967203195724212	0.4661566544179564	0.5015976067856713	0.46358191957361256	0.5250003646573378	0.5206588950522678	0.44025476145601256	0.4207819836835287	0.571948797039713	0.6209901336937157	0.2636575621427309	0.2384754050743124	0.23781294726646565	0.25898222255367515	0.25876423982385854	0.26290325839651757	0.26439054879344226	0.470281412950235	0.679113521403668	0.541005578048526	0.0	0.4786776019394815	0.5014058541660662
STAGATE_1	0.31139612308079795	0.4254458860125314	0.2773392106152964	0.3607073062939141	0.2833490911815198	0.21727595543200245	0.22439926038733443	0.1911149951351149	0.4959344968692837	0.4740181132085095	0.4778744867779548	0.554441726845713	0.5396675702965185	0.5388563615370193	0.5316568758505494	0.505320816307242	0.5072096000871069	0.5205807837295371	0.5208527854783749	0.5863233884954415	0.5756456002491734	0.516603045280619	0.527419784626148	0.3024173911814324	0.16788376820538267	0.16744800536060644	0.18401122794136798	0.1817228984563131	0.2892956950322551	0.29334269097462073	0.6124556898227236	0.5948178177818773	0.47911373963184073	0.4786776019394815	0.0	0.6608328394569931
STAGATE_13	0.33379561286395104	0.48460196088449925	0.2971690570679243	0.4092772768380843	0.3159029457868549	0.22857266007934635	0.24013646524848817	0.20306584955878484	0.5758929221538001	0.5130940109764206	0.5438899005660647	0.6348573249995152	0.5614577226764177	0.5859057491220074	0.5764056666842164	0.555748724308438	0.546536305052135	0.5880323869318762	0.5914444525381796	0.6501153694893558	0.6597804124900887	0.5338466628538061	0.536432474468981	0.3245933982796431	0.18840239792586475	0.18791700962745853	0.19869152299237702	0.20480252056510304	0.3065155915890836	0.30827243916423125	0.8112402635483582	0.5910151407895764	0.46696549742769283	0.5014058541660662	0.6608328394569931	0.0
